All,Összes
"Show VAT Number on Storefront","Adószám megjelenítése a boltban"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Ahhoz, hogy az adószám megjelenjen a bolt nézetben, állítsa az Adószám megjelenítése a boltban értékét Igenre."
"Default Welcome Email","Alapértelmezett üdvözlő E-mail üzenet"
"Default Welcome Email Without Password","Alapértelmezett üdvözlő e-mail jelszó nélkül"
"Require Emails Confirmation","E-mail megerősítés szükséges"
"Confirmation Link Email","Megerősítő link e-mail"
"Welcome Email","Üdvözlő e-mail"
"Generate Human-Friendly Customer ID","Emberbarát ügyfélazonosító létrehozása"
"Password Options","Jelszó beállítások"
"Forgot Email Template","Elfelejtett e-mail sablon"
"Remind Email Template","Emlékeztető e-mail sablon"
"Reset Password Template","Jelszó visszaállítás saboln"
"Password Template Email Sender","Jelszó sablon e-mail feladó"
"Number of Required Character Classes","Szükséges karakter típusok száma"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","A jelszóban kötelezően szereplő karakter típusok száma: kisbetű, nagybetű szám, speciális karakter."
"Minimum Password Length","A jelszó minimális hossza"
"Maximum Login Failures to Lockout Account","Hibás bejelentkezések maximális száma a fiók zárolásáig"
"Use 0 to disable account locking.","Adjon meg 0 értéket a fiók zárolás kikapcsolásához."
"Lockout Time (minutes)","Zárolási idő (perc)"
"Enable Autocomplete on login/forgot password forms","Az automatikus szövegkiegészítés bekapcsolása a bejelentkezésnél és az elfelejtett jelszónál"
"Change Email Template","E-mail Sablon Megváltoztatása"
"Change Email and Password Template","E-mail cím és Jelszó sablon megváltoztatása"
"Name and Address Options","Név és cím beállítások"
"Number of Lines in a Street Address","A címben az utcanév sorainak száma"
"Show Prefix","Előtag megjelenítése"
"The title that goes before name (Mr., Mrs., etc.)","Az előtag, ami a név előtt van (Mr., Mrs., stb.)"
"Prefix Dropdown Options","Előtag legördülő lehetősévek"
"Show Middle Name (initial)","Középső név megjelenítése (elöl)"
"Always optional.","Mindig választható."
"Show Suffix","Utótag megjelenítése"
"The suffix that goes after name (Jr., Sr., etc.)","Az utótag, ami a név után van (Ifj., Id., stb.)"
"Suffix Dropdown Options","Utótag legördülő lehetőségek"
"Show Date of Birth","Születési dátum megjelenítése"
"Show Tax/VAT Number","Adószám megjelenítése"
"Show Gender","Nem megjelenítése"
"Show Telephone","Telefonszám megjelenítése"
"Show Company","Cégnév megjelenítése"
"Login Options","Bejelentkezési beállítások"
"Redirect Customer to Account Dashboard after Logging in","Vevő átirányítása a saját fiókjának irányítópultjára bejelentkezés után"
"Customer will stay on the current page if ""No"" is selected.","A vevő az aktuális oldalon marad ha a ""Nem"" van kiválasztva."
"Address Templates","Cím sablonok"
"Online Customers Options","Online vásárlók beállítások"
"Online Minutes Interval","Bejelentkezés időtartama percben"
"Leave empty for default (15 minutes).","Hagyja üresen az alapértelmezett értékhez (15 perc)."
"Customer Notification","Vásárló figyelmeztetések"
"Assign a Customer Group","Vevőcsoport hozzárendelése"
"Customer Grid","Vevő rács"
"Rebuild Customer grid index","Vevő rács index újraépítése"
Group,Csoport
"Add New Customer","Új vásárló hozzáadása"
"Subscribe to Newsletter","Feliratkozás a hírlevélre"
"Unsubscribe from Newsletter","Leiratkozás a hírlevélről"
"Customer Since","Első vásárlás"
"Confirmed email","Visszaigazolt email"
"Account Created in","Fiók létrehozva"
"Tax VAT Number",Adószám
"Billing Firstname","Számlázási keresztnév"
"Billing Lastname","Számlázási vezetéknév"
"Account Lock","Fiók zárolva"
"Last Activity","Utolsó aktivitás"
"Customer Information","Vevő információk"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Ha a Magento-t több weboldalra telepítette, beállíthatja hogy a különböző oldalakon regisztrált vevők melyik weboldalhoz legyenek hozzárendelve."
"Disable Automatic Group Change Based on VAT ID","Az adószám alapján történő vevőcsoport váltás letiltása"
"Send Welcome Email From","Üdvözlő email küldése"
Addresses,Címek
"Edit Account Information","Fiókadatok módosítása"
"Password forgotten","Elfelejtett jelszó"
"You are signed out","Ön kijelentkezett"
"Delete Orphan Balances","Árva egyenlegek törlése"
"Balance Change",Egyenlegváltozás
Balance,Egyenleg
"Customer notified","Vevő értesítve"
Notified,Értesítve
"More information","További információ"
"Update Balance","Egyenleg frissítése"
"An amount on which to change the balance","Az egyenleget módosító összeg"
"Notify Customer by Email","Vevő értesítése e-mailben"
"Send Email Notification From the Following Store View","Email értesítés küldése a következő bolt nézetből"
"Failed to initialize customer","A vevő inicializálása sikertelen"
"The store credit payment has been removed from shopping cart.","A bolti hitel fizetési mód eltávolításra került a bevásárlókosárból."
"You are not using store credit in your shopping cart.","Ön nem használja a bolti hitelt bevásárlókosarában."
"Please set a website ID.","Kérjük, állítsa be a weboldal-azonosítót!"
"By admin: %1.","Admin: %1."
"By admin: %1. (%2)","Admin: %1. (%2)"
"Please also set the Store ID.","Kérjük, állítsa be a boltazonosítót!"
"Please enter a store ID to send email notifications.","Kérjük, írja be a boltazonosítót az e-mail értesítés küldéséhez!"
"Please specify a customer ID.","Kérjük, adjon meg egy vásárlóazonosítót!"
"Please specify a valid customer.","Kérjük, adjon meg egy érvényes vásárlót!"
Used,Használva
"There is no credit memo set to balance model.","Nincs jóváírás beállítva az egyenlegmodellhez."
"Order #%1, creditmemo #%2","Megrendelés #%1, jóváírás #%2"
"There is no order set to balance model.","Nincs megrendelés beállítva az egyenlegmodellhez."
"You do not have enough store credit to complete this order.","Önnek nincs elegendő bolti hitele, hogy feladhassa e megrendelést."
"Store Credit Balance","Bolti hitel egyenlege"
"Balance History",Egyenlegelőzmények
"Refund Store Credit to Store Credit","Bolti hitel visszatérítése a bolti hitelbe"
"Refund Money to Store Credit","Pénz visszatérítése a bolti hitelbe"
"Refund to Store Credit","Visszatérítés bolti hitelbe"
"Use Store Credit (%1 available)","Bolti hitel felhasználása (%1 elérhető)"
"Your balance is:","Az Ön egyenlege:"
"Use Store Credit","Bolti hitel használata"
available,elérhető
"Refunded to Store Credit","Visszatérítve a bolti hitelbe"
"Store Credit update","Bolti hitel frissítése"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Frissítettük az Ön <a href=""%store_url""> %store_name</a> fiókját; Önnek van jövőbeli vásárlásainál felhasználható hitelkerete."
"Your Store Credit balance is now %balance.","Az Ön bolti hitelegyenlege jelenleg %balance."
"Store credit available","Bolti hitel elérhető"
"Your store credit was successfully applied","Az Ön bolti hitele alkalmazásra került"
"Store Credit Options","Bolti hitellehetőségek"
"Enable Store Credit Functionality","Bolti hitelfunkció bekapcsolása"
"Show Store Credit History to Customers","Bolti hiteltörténet megjelenítése a vevőknek"
"Refund Store Credit Automatically","Bolti hitel automatikus visszatérítése"
"Store Credit Update Email Sender","Bolti hitel frissüléséről küldött e-mail feladója"
"Store Credit Update Email Template","Bolti hitel frissüléséről küldött e-mail sablonja"
"Customer Address Attributes","Vásárlói címjellemzők"
"Edit Customer Address Attribute ""%1""","Vásárlói címjellemző szerkesztése: ""%1"""
"New Customer Address Attribute","Új vásárlói címjellemző"
"Lines Count","Sorok száma"
"Valid range 2-20","Érvényes tartomány 2-20"
"Input Validation","Bevitel jóváhagyása"
"Minimum Text Length","Minimális szöveghossz"
"Maximum Text Length","Maximális szöveghossz"
"Maximum File Size (bytes)","Maximális fájlméret (bájt)"
"File Extensions",Fájlkiterjesztések
"Maximum Image Width (px)","Maximális képszélesség (px)"
"Maximum Image Height (px)","Maximális képmagasság (px)"
"Input/Output Filter","Bemeneti/Kimeneti szűrő"
"Minimal value","Minimális érték"
"Maximum value","Maximális érték"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Válassza az ""Igen""-t e jellemző új oszlopként való hozzáadásához."
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Válassza az ""Igen""-t, ha szeretné e jellemzőt szűrőként használni."
"Use in Search Options","Használja keresési opcióként"
"Use in Search Option","Használja keresési opcióként"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Válassza az ""Igen""-t, ha szeretné e jellemzőt keresési lehetőségként beállítani."
"Show on Storefront","Megjelenítés a vásárlói felületen"
"Forms to Use In","Űrlapok használatban"
"Manage Label / Options","Címkék / Opciók kezelése"
"Visible to Customer","Láthatja a vásárló"
"Customer Attributes",Vásárló-jellemzők
"Edit Customer Attribute ""%1""","Vásárló-jellemző szerkesztése: %1"
"New Customer Attribute","Új vásárló-jellemző"
"Manage Form Types","Űrlaptípusok kezelése"
"New Form Type","Új űrlaptípus"
"Edit Form Type ""%1""","Űrlaptípus szerkesztése: %1"
"Form Label",Űrlapcímke
"All Themes","Minden téma"
"For Theme",Témához
"Form Code",Űrlapkód
"Form Title","Űrlap elnevezése"
"New Fieldset","Új mezőcsoport"
"Form Type Information","Űrlaptípus információi"
"Type Code",Típuskód
"Manage Customer Address Attributes","Vásárlói címjellemzők kezelése"
"You cannot delete this attribute.","Nem törölheti e jellemzőt."
"You deleted the customer address attribute.","Törölte a vásárlói címjellemzőt."
"You cannot edit this attribute.","Nem módosíthatja e jellemzőt."
"Edit Customer Address Attribute","Vásárlói címjellemző szerkesztése"
"You saved the customer address attribute.","Elmentette a vásárlói címjellemzőt."
"Manage Customer Attributes","Vásárlójellemzők kezelése"
"You deleted the customer attribute.","Törölte a vásárlójellemzőt."
"The attribute no longer exists.","A jellemző már nem létezik."
"Edit Customer Attribute","Vásárlójellemző szerkesztése"
"You saved the customer attribute.","Elmentette a vásárlójellemzőt."
"We can't save the form type right now.","Jelenleg nem tudjuk menteni az űrlaptípust."
"This system form type cannot be deleted.","E rendszerűrlap-típus nem törölhető."
"The form type has been deleted.","Az űrlaptípus törlésre került."
"Customer Address Registration","Vásárlói cím megadása"
